project_id,project_name,description,state,district,latitude,longitude,category,sanctioned_amount,actual_expenditure,start_date,completion_date,contractor,reported_progress,image_path
MPL-00419,Drainage system construction in Bhagwanpur,Drainage system construction in Bhagwanpur,Bihar,Darbhanga,26.209167,85.97152,Sanitation,527892.06,478600.57,2020-01-30,2020-04-27,Highway Infra Ltd.,94.9,/static/demo_images/sanitation_placeholder.jpg
MPL-00211,Drainage system construction in Chandpur,Drainage system construction in Chandpur,Uttar Pradesh,Lucknow,26.810667,81.054859,Sanitation,728156.05,681643.8,2020-07-11,2020-10-28,Ganga Infra Ltd.,89.8,/static/demo_images/sanitation_placeholder.jpg
MPL-00129,Installation of solar street lights in Devipur,Installation of solar street lights in Devipur,Maharashtra,Pune,18.466005,73.736425,Electrification,788822.56,723396.1,2024-04-19,2024-07-20,Bharat Builders,96.4,/static/demo_images/electrification_placeholder.jpg
MPL-00410,Repair and widening of village road in Balrampur,Repair and widening of village road in Balrampur,Rajasthan,Jaipur,26.816881,75.90601,Road Construction,1870174.83,1732371.9,2019-02-21,2019-09-11,United Engineering Works,99.6,/static/demo_images/road_construction_placeholder.jpg
MPL-00947,Construction of school boundary wall in Chandpur,Construction of school boundary wall in Chandpur,West Bengal,Kolkata,22.534008,88.460708,School Infrastructure,1828745.41,1789203.19,2022-08-30,2023-02-04,SuperFast Construction Co.,94.1,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00612,Check dam construction for irrigation in Mahadevpur,Check dam construction for irrigation in Mahadevpur,Kerala,Kochi,9.814947,76.333229,Irrigation,1421302.04,1307485.4,2021-04-14,2021-11-03,Ganga Construction Co.,87.7,/static/demo_images/irrigation_placeholder.jpg
MPL-00488,Drainage system construction in Gopalpur,Drainage system construction in Gopalpur,Rajasthan,Jaipur,26.825765,75.689323,Sanitation,517348.21,497215.25,2023-01-15,2023-05-18,Reliable Builders,87.3,/static/demo_images/sanitation_placeholder.jpg
MPL-00197,Borewell and handpump installation for Rampur,Borewell and handpump installation for Rampur,Uttar Pradesh,Meerut,28.875747,77.74561,Drinking Water,534374.35,470359.47,2019-09-05,2020-01-06,Modern Builders,94.9,/static/demo_images/drinking_water_placeholder.jpg
MPL-00960,Construction of village playground in Krishnapur,Construction of village playground in Krishnapur,Kerala,Kozhikode,11.37748,75.808466,Sports Infrastructure,1066861.3,1045397.07,2023-04-03,2023-08-23,SuperFast Construction Co.,89.8,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00864,Construction of open gymnasium in Narayanpur,Construction of open gymnasium in Narayanpur,Uttar Pradesh,Varanasi,25.290542,83.005065,Sports Infrastructure,1624977.3,1690099.27,2024-12-12,2025-05-08,Rapid Nation Builders,90.3,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00967,Construction of dispensary building in Tagorepur,Construction of dispensary building in Tagorepur,Maharashtra,Thane,19.103239,72.934216,Healthcare Facility,1697667.7,1712376.38,2024-09-07,2025-04-30,SuperFast Construction Co.,90.0,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00114,Development of sports ground with boundary wall in Bhagwanpur,Development of sports ground with boundary wall in Bhagwanpur,Bihar,Muzaffarpur,26.07783,85.528067,Sports Infrastructure,1369987.27,1204955.82,2020-02-26,2020-08-07,Bharat Infra Ltd.,88.8,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00556,Borewell and handpump installation for Ramganj,Borewell and handpump installation for Ramganj,Karnataka,Hubli,15.373584,75.254895,Drinking Water,891093.19,894023.54,2021-01-20,2021-05-24,United Construction Co.,94.0,/static/demo_images/drinking_water_placeholder.jpg
MPL-00421,Upgradation of health centre facilities in Sundarpur,Upgradation of health centre facilities in Sundarpur,Kerala,Kozhikode,11.175017,75.845754,Healthcare Facility,1532715.27,1585144.93,2019-11-24,2020-06-04,Cityscape Engineering Works,97.0,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00367,Construction of village public library in Lakshmipur,Construction of village public library in Lakshmipur,Kerala,Thiruvananthapuram,8.562962,76.798357,Library,1055042.37,908583.92,2023-07-19,2023-11-05,Shree Balaji Infra Pvt Ltd,94.6,/static/demo_images/library_placeholder.jpg
MPL-00912,Building of village community hall at Mahadevpur,Building of village community hall at Mahadevpur,Karnataka,Hubli,15.352205,74.976736,Community Hall,1137471.79,1080743.43,2024-08-23,2025-01-04,Rapid Nation Builders,88.2,/static/demo_images/community_hall_placeholder.jpg
MPL-00405,Construction of village public library in Devipur,Construction of village public library in Devipur,West Bengal,Asansol,23.688364,86.858971,Library,1333945.86,1250469.23,2023-05-16,2023-09-03,Apex Construction Co.,88.3,/static/demo_images/library_placeholder.jpg
MPL-00218,Development of sports ground with boundary wall in Ganeshpur,Development of sports ground with boundary wall in Ganeshpur,Kerala,Kozhikode,11.408111,75.775231,Sports Infrastructure,984975.44,1018572.47,2019-12-18,2020-04-13,United Infra Ltd.,97.5,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00709,Construction of link road connecting Anandpur,Construction of link road connecting Anandpur,Bihar,Muzaffarpur,26.064997,85.256325,Road Construction,1330264.61,1336226.77,2023-03-15,2023-03-20,Rajdhani Infra Ltd.,88.0,/static/demo_images/road_construction_placeholder.jpg
MPL-00168,Construction of link road connecting Nehrunagar,Construction of link road connecting Nehrunagar,Maharashtra,Thane,19.244349,72.900837,Road Construction,2793634.72,2671296.7,2021-08-11,2022-02-15,Om Infra Ltd.,86.5,/static/demo_images/road_construction_placeholder.jpg
MPL-00368,Repair and widening of village road in Bhagwanpur,Repair and widening of village road in Bhagwanpur,West Bengal,Asansol,23.705858,86.943824,Road Construction,2379670.48,2127122.63,2023-08-10,2024-03-26,Bharat Infra Ltd.,96.9,/static/demo_images/road_construction_placeholder.jpg
MPL-00670,Renovation of primary school building in Saraswatipur,Renovation of primary school building in Saraswatipur,Tamil Nadu,Trichy,10.651539,78.702551,School Infrastructure,2347285.86,4068165.23,2019-01-30,2019-08-17,Prime Builders,99.8,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00678,Setting up of reading room and library in Rampur,Setting up of reading room and library in Rampur,Kerala,Thrissur,10.492776,76.302949,Library,1331944.35,2438760.24,2022-10-23,2023-02-11,Shree Engineering Works,91.8,/static/demo_images/library_placeholder.jpg
MPL-00066,Construction of Community Hall in Narayanpur,Construction of Community Hall in Narayanpur,Tamil Nadu,Trichy,10.661923,78.604477,Community Hall,1361417.72,1361133.92,2022-03-28,2022-08-28,Cityscape Construction Co.,86.9,/static/demo_images/community_hall_placeholder.jpg
MPL-00890,Installation of solar street lights in Mahadevpur,Installation of solar street lights in Mahadevpur,West Bengal,Howrah,22.694125,88.20394,Electrification,560243.32,534229.1,2024-06-06,2024-09-04,Rapid Nation Builders,86.7,/static/demo_images/electrification_placeholder.jpg
MPL-00050,Setting up of reading room and library in Bhagwanpur,Setting up of reading room and library in Bhagwanpur,Maharashtra,Nashik,20.057339,73.869869,Library,691010.23,671281.54,2020-04-14,2020-08-05,Sundar Construction Co.,99.5,/static/demo_images/library_placeholder.jpg
MPL-00336,Construction of link road connecting Vijaynagar,Construction of link road connecting Vijaynagar,Karnataka,Bengaluru,12.965711,77.615791,Road Construction,2787745.92,2602348.51,2024-12-26,2025-05-20,Ganga Construction Co.,98.2,/static/demo_images/road_construction_placeholder.jpg
MPL-00479,Construction of Community Centre in Nehrunagar,Construction of Community Centre in Nehrunagar,Tamil Nadu,Trichy,10.914358,78.672323,Community Hall,1949421.93,1916352.18,2024-01-31,2024-08-11,Modern Infra Ltd.,85.5,/static/demo_images/community_hall_placeholder.jpg
MPL-00682,Installation of irrigation pump sets in Gandhinagar,Installation of irrigation pump sets in Gandhinagar,Tamil Nadu,Madurai,10.069777,78.149729,Irrigation,1769176.33,3795170.74,2022-10-06,2023-03-30,Ganga Infra Ltd.,91.3,/static/demo_images/irrigation_placeholder.jpg
MPL-00880,Development of sports ground with boundary wall in Bhagwanpur,Development of sports ground with boundary wall in Bhagwanpur,Kerala,Kollam,8.799586,76.547452,Sports Infrastructure,840615.96,766162.06,2020-02-23,2020-08-02,Rapid Nation Builders,87.2,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00109,Installation of solar street lights in Gopalpur,Installation of solar street lights in Gopalpur,Maharashtra,Nashik,19.932474,73.843346,Electrification,651979.65,641174.07,2019-08-13,2019-11-23,Shree Construction Co.,88.1,/static/demo_images/electrification_placeholder.jpg
MPL-00202,Construction of school boundary wall in Gandhinagar,Construction of school boundary wall in Gandhinagar,Tamil Nadu,Trichy,10.78315,78.568669,School Infrastructure,1213826.51,1256452.41,2019-05-15,2019-09-26,Sundar Infra Ltd.,98.9,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00756,Repair and widening of village road in Indranagar,Repair and widening of village road in Indranagar,Maharashtra,Pune,18.482475,73.87263,Road Construction,2008459.31,2073044.6,2022-12-13,2023-07-11,Om Builders,92.7,/static/demo_images/road_construction_placeholder.jpg
MPL-00966,Construction of dispensary building in Shivnagar,Construction of dispensary building in Shivnagar,Rajasthan,Ajmer,26.511797,74.743323,Healthcare Facility,2611012.66,2445091.13,2021-12-13,2022-07-24,SuperFast Construction Co.,86.3,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00177,Installation of irrigation pump sets in Balrampur,Installation of irrigation pump sets in Balrampur,Kerala,Kochi,10.028881,76.345858,Irrigation,2432649.65,2357633.77,2024-12-03,2025-06-29,Skyline Infra Ltd.,86.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00394,Construction of dispensary building in Narayanpur,Construction of dispensary building in Narayanpur,Bihar,Gaya,24.903051,84.864513,Healthcare Facility,1747437.0,1542407.38,2021-06-01,2022-03-05,Vishwakarma Construction Co.,92.1,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00245,Installation of irrigation pump sets in Ashoknagar,Installation of irrigation pump sets in Ashoknagar,West Bengal,Kolkata,22.443904,88.480517,Irrigation,1162927.32,1072474.42,2023-09-20,2024-03-25,Skyline Infra Ltd.,93.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00627,Construction of school boundary wall in Gopalpur,Construction of school boundary wall in Gopalpur,Maharashtra,Aurangabad,19.983657,75.354875,School Infrastructure,1234968.38,1239839.38,2020-04-22,2020-10-03,Sundar Builders,98.5,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00334,Construction of Primary Health Sub-Centre in Mahadevpur,Construction of Primary Health Sub-Centre in Mahadevpur,Karnataka,Mysuru,12.187254,76.670157,Healthcare Facility,3716092.14,3539425.12,2022-07-09,2023-05-11,Progressive Infra Ltd.,94.5,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00878,Construction of school boundary wall in Rampur,Construction of school boundary wall in Rampur,Uttar Pradesh,Agra,27.091541,78.103653,School Infrastructure,1418251.37,1235164.97,2021-05-04,2021-09-03,Rapid Nation Builders,97.2,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00126,Check dam construction for irrigation in Mahadevpur,Check dam construction for irrigation in Mahadevpur,Kerala,Thiruvananthapuram,8.607537,76.937472,Irrigation,1935455.57,1707868.51,2021-03-28,2021-12-03,Bharat Builders,98.1,/static/demo_images/irrigation_placeholder.jpg
MPL-00305,Construction of open gymnasium in Lakshmipur,Construction of open gymnasium in Lakshmipur,West Bengal,Howrah,22.715677,88.30993,Sports Infrastructure,904478.86,809206.11,2022-09-19,2023-02-10,Skyline Engineering Works,88.9,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00224,Renovation of panchayat library building in Lakshmipur,Renovation of panchayat library building in Lakshmipur,Rajasthan,Ajmer,26.511697,74.579133,Library,1093036.06,947608.04,2020-07-02,2020-10-07,Metro Construction Co.,86.8,/static/demo_images/library_placeholder.jpg
MPL-00655,Construction of village public library in Ganeshpur,Construction of village public library in Ganeshpur,Bihar,Patna,25.595529,85.125881,Library,944936.45,888065.4,2023-08-05,2023-12-02,Apex Builders,88.5,/static/demo_images/library_placeholder.jpg
MPL-00633,Construction of irrigation canal near Ganeshpur,Construction of irrigation canal near Ganeshpur,Maharashtra,Pune,18.430245,73.888425,Irrigation,1331717.08,1242754.21,2021-05-07,2021-12-18,Progressive Engineering Works,85.7,/static/demo_images/irrigation_placeholder.jpg
MPL-00095,Borewell and handpump installation for Sundarpur,Borewell and handpump installation for Sundarpur,Kerala,Thrissur,10.450671,76.102177,Drinking Water,931662.38,804697.32,2021-06-03,2021-10-02,Rajdhani Builders,89.9,/static/demo_images/drinking_water_placeholder.jpg
MPL-00808,Development of sports ground with boundary wall in Devipur,Development of sports ground with boundary wall in Devipur,Karnataka,Hubli,15.239785,75.188476,Sports Infrastructure,1239640.54,1246233.58,2021-06-17,2021-11-05,Shree Balaji Infra Pvt Ltd,95.5,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00454,Development of sports ground with boundary wall in Ganeshpur,Development of sports ground with boundary wall in Ganeshpur,Kerala,Kozhikode,11.232868,75.765666,Sports Infrastructure,856766.44,829403.97,2021-04-07,2021-08-21,Cityscape Infra Ltd.,86.4,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00773,Construction of public toilet complex in Saraswatipur,Construction of public toilet complex in Saraswatipur,Maharashtra,Nagpur,21.021223,79.092496,Sanitation,527597.47,461525.66,2021-10-21,2022-01-20,Rajdhani Construction Co.,92.1,/static/demo_images/sanitation_placeholder.jpg
MPL-00728,Construction of community sanitation block in Ashoknagar,Construction of community sanitation block in Ashoknagar,Bihar,Muzaffarpur,26.192413,85.29179,Sanitation,682255.97,675985.66,2021-03-22,2024-12-12,Modern Infra Ltd.,87.7,/static/demo_images/sanitation_placeholder.jpg
MPL-00916,Check dam construction for irrigation in Subhaspur,Check dam construction for irrigation in Subhaspur,Maharashtra,Nagpur,21.092898,79.00766,Irrigation,2606312.31,2693502.98,2021-08-27,2022-03-20,Rapid Nation Builders,86.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00877,Construction of Primary Health Sub-Centre in Gandhinagar,Construction of Primary Health Sub-Centre in Gandhinagar,West Bengal,Howrah,22.551703,88.364263,Healthcare Facility,2105940.64,2062614.82,2019-11-04,2020-08-04,Rapid Nation Builders,99.6,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00619,Construction of dispensary building in Fatehpur,Construction of dispensary building in Fatehpur,Bihar,Patna,25.571021,85.214547,Healthcare Facility,3527485.9,3431445.01,2019-06-15,2020-01-06,Highway Builders,90.1,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00969,Overhead water tank construction in Ashoknagar,Overhead water tank construction in Ashoknagar,Kerala,Kochi,9.783591,76.158362,Drinking Water,780967.25,811137.95,2020-09-12,2021-01-03,SuperFast Construction Co.,92.3,/static/demo_images/drinking_water_placeholder.jpg
MPL-00875,Construction of village public library in Mahadevpur,Construction of village public library in Mahadevpur,Maharashtra,Thane,19.106187,73.086668,Library,1217731.34,1251291.63,2024-01-05,2024-05-10,Rapid Nation Builders,95.0,/static/demo_images/library_placeholder.jpg
MPL-00737,Construction of public toilet complex in Narayanpur,Construction of public toilet complex in Narayanpur,Karnataka,Bengaluru,13.037352,77.64438,Sanitation,1086052.72,1068806.48,2024-07-08,2024-09-28,National Engineering Works,96.9,/static/demo_images/sanitation_placeholder.jpg
MPL-00924,Overhead water tank construction in Balrampur,Overhead water tank construction in Balrampur,Kerala,Kollam,9.010743,76.638932,Drinking Water,1229541.51,1287313.71,2019-05-03,2019-08-14,SuperFast Construction Co.,85.5,/static/demo_images/drinking_water_placeholder.jpg
MPL-00400,Construction of village playground in Sundarpur,Construction of village playground in Sundarpur,Bihar,Patna,25.67538,85.144795,Sports Infrastructure,1755615.1,1528764.49,2020-09-28,2021-01-22,National Infra Ltd.,94.8,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00073,Construction of village playground in Gopalpur,Construction of village playground in Gopalpur,Uttar Pradesh,Lucknow,26.76411,81.048622,Sports Infrastructure,784807.23,815738.17,2022-04-10,2022-08-11,Highway Builders,95.6,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00444,Construction of Community Centre in Gopalpur,Construction of Community Centre in Gopalpur,Kerala,Thiruvananthapuram,8.647021,76.885385,Community Hall,1713350.63,1527197.58,2020-07-21,2021-02-19,SuperFast Construction Co.,93.1,/static/demo_images/community_hall_placeholder.jpg
MPL-00948,Installation of high-mast lighting in Gopalpur,Installation of high-mast lighting in Gopalpur,Karnataka,Mangaluru,12.876515,74.988744,Electrification,536437.82,459314.95,2023-02-17,2023-05-12,SuperFast Construction Co.,85.7,/static/demo_images/electrification_placeholder.jpg
MPL-00457,Installation of irrigation pump sets in Ramganj,Installation of irrigation pump sets in Ramganj,West Bengal,Siliguri,26.631309,88.514863,Irrigation,2964824.37,2522195.6,2024-07-31,2025-02-16,Modern Engineering Works,93.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00593,Construction of Community Centre in Bhagwanpur,Construction of Community Centre in Bhagwanpur,Maharashtra,Nagpur,21.127643,79.014492,Community Hall,1784221.42,1691569.86,2022-07-20,2022-11-30,Progressive Builders,91.4,/static/demo_images/community_hall_placeholder.jpg
MPL-00906,Building of village community hall at Devipur,Building of village community hall at Devipur,Bihar,Gaya,24.8374,84.896633,Community Hall,1842359.19,1830988.9,2019-01-27,2019-06-14,Rapid Nation Builders,97.1,/static/demo_images/community_hall_placeholder.jpg
MPL-00769,Installation of drinking water supply system in Nehrunagar,Installation of drinking water supply system in Nehrunagar,Kerala,Thrissur,10.666994,76.266757,Drinking Water,1185544.45,1131843.18,2020-06-30,2020-10-29,Highway Builders,90.3,/static/demo_images/drinking_water_placeholder.jpg
MPL-00541,Installation of irrigation pump sets in Fatehpur,Installation of irrigation pump sets in Fatehpur,Karnataka,Bengaluru,13.030659,77.697172,Irrigation,1985986.98,1808869.65,2020-12-04,2021-07-27,Vishwakarma Builders,88.4,/static/demo_images/irrigation_placeholder.jpg
MPL-00543,Construction of Community Hall in Devipur,Construction of Community Hall in Devipur,Maharashtra,Aurangabad,19.738545,75.288288,Community Hall,1089710.27,983007.41,2019-05-23,2019-12-02,Metro Construction Co.,99.7,/static/demo_images/community_hall_placeholder.jpg
MPL-00269,Upgradation of health centre facilities in Sundarpur,Upgradation of health centre facilities in Sundarpur,Uttar Pradesh,Kanpur,26.45873,80.411953,Healthcare Facility,3999014.37,4178154.11,2021-12-27,2022-10-05,Progressive Construction Co.,97.2,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00306,Check dam construction for irrigation in Shivnagar,Check dam construction for irrigation in Shivnagar,West Bengal,Asansol,23.540003,86.992719,Irrigation,2242594.91,2184581.09,2024-04-18,2024-10-12,Prime Construction Co.,92.5,/static/demo_images/irrigation_placeholder.jpg
MPL-00415,Construction of village playground in Shivnagar,Construction of village playground in Shivnagar,Maharashtra,Aurangabad,19.872553,75.288322,Sports Infrastructure,1274185.49,1247337.38,2021-03-01,2021-06-15,Shree Infra Ltd.,95.3,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00810,Construction of Community Centre in Ramganj,Construction of Community Centre in Ramganj,Karnataka,Hubli,15.257942,75.229994,Community Hall,2357729.4,2434569.64,2021-09-20,2022-03-28,Shree Balaji Infra Pvt Ltd,88.2,/static/demo_images/community_hall_placeholder.jpg
MPL-00388,Borewell and handpump installation for Saraswatipur,Borewell and handpump installation for Saraswatipur,Bihar,Darbhanga,26.1904,85.889502,Drinking Water,1268289.06,1305576.7,2022-01-30,2022-05-21,Modern Infra Ltd.,87.7,/static/demo_images/drinking_water_placeholder.jpg
MPL-00452,Borewell and handpump installation for Balrampur,Borewell and handpump installation for Balrampur,Rajasthan,Jaipur,26.917238,75.826495,Drinking Water,519436.36,471770.74,2023-06-19,2023-10-14,Ganga Infra Ltd.,96.6,/static/demo_images/drinking_water_placeholder.jpg
MPL-00518,Development of sports ground with boundary wall in Lakshmipur,Development of sports ground with boundary wall in Lakshmipur,Karnataka,Mangaluru,12.837193,74.880596,Sports Infrastructure,806707.96,813331.4,2023-03-21,2023-08-06,Sundar Construction Co.,85.2,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00522,Construction of Primary Health Sub-Centre in Sundarpur,Construction of Primary Health Sub-Centre in Sundarpur,Tamil Nadu,Salem,11.548104,78.040765,Healthcare Facility,3609454.24,3726028.33,2024-07-30,2025-02-06,Sundar Infra Ltd.,87.4,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00755,Construction of concrete road from Indranagar to main highway,Construction of concrete road from Indranagar to main highway,Maharashtra,Pune,18.479468,73.870028,Road Construction,2250712.92,2338593.57,2024-10-28,2025-06-21,Ganga Builders,94.9,/static/demo_images/road_construction_placeholder.jpg
MPL-00296,Overhead water tank construction in Vijaynagar,Overhead water tank construction in Vijaynagar,Rajasthan,Ajmer,26.359633,74.600406,Drinking Water,851374.77,791257.88,2020-05-22,2020-09-21,Shree Engineering Works,88.6,/static/demo_images/drinking_water_placeholder.jpg
MPL-00390,Installation of irrigation pump sets in Shivnagar,Installation of irrigation pump sets in Shivnagar,Tamil Nadu,Coimbatore,11.022262,76.900495,Irrigation,1155995.35,1138448.05,2023-04-04,2023-10-18,SuperFast Construction Co.,86.5,/static/demo_images/irrigation_placeholder.jpg
MPL-00757,Installation of drinking water supply system in Bhagwanpur,Installation of drinking water supply system in Bhagwanpur,West Bengal,Kolkata,22.512513,88.463688,Drinking Water,1245938.34,1209094.54,2020-06-10,2020-10-11,Reliable Infra Ltd.,86.1,/static/demo_images/drinking_water_placeholder.jpg
MPL-00425,Construction of Community Centre in Balrampur,Construction of Community Centre in Balrampur,Tamil Nadu,Chennai,13.084108,80.31796,Community Hall,1700850.72,1649796.53,2022-08-22,2023-04-12,Skyline Engineering Works,91.2,/static/demo_images/community_hall_placeholder.jpg
MPL-00056,"Construction of additional classrooms at Government School, Krishnapur","Construction of additional classrooms at Government School, Krishnapur",Bihar,Muzaffarpur,26.188522,85.387173,School Infrastructure,2444696.38,2415657.95,2024-07-03,2024-12-13,Cityscape Builders,96.9,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00928,Installation of drinking water supply system in Sundarpur,Installation of drinking water supply system in Sundarpur,Tamil Nadu,Trichy,10.872584,78.798109,Drinking Water,907348.69,927363.8,2019-03-16,2019-07-12,SuperFast Construction Co.,93.3,/static/demo_images/drinking_water_placeholder.jpg
MPL-00120,Rural electrification work in Krishnapur,Rural electrification work in Krishnapur,Uttar Pradesh,Agra,27.055052,78.061614,Electrification,530488.18,527701.38,2020-09-07,2020-12-13,Metro Infra Ltd.,86.2,/static/demo_images/electrification_placeholder.jpg
MPL-00870,Construction of Community Hall in Anandpur,Construction of Community Hall in Anandpur,West Bengal,Asansol,23.792649,87.07781,Community Hall,958680.37,938505.07,2019-10-12,2020-03-05,Rapid Nation Builders,92.0,/static/demo_images/community_hall_placeholder.jpg
MPL-00687,Renovation of primary school building in Balrampur,Renovation of primary school building in Balrampur,Tamil Nadu,Madurai,9.983506,78.065185,School Infrastructure,1853172.3,3514737.66,2021-02-13,2021-08-15,Progressive Construction Co.,89.4,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00206,"Construction of additional classrooms at Government School, Gandhinagar","Construction of additional classrooms at Government School, Gandhinagar",West Bengal,Asansol,23.548511,86.848666,School Infrastructure,2361018.88,2306196.44,2023-05-15,2023-10-22,Metro Construction Co.,90.4,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00248,Renovation of panchayat library building in Ashoknagar,Renovation of panchayat library building in Ashoknagar,Rajasthan,Jaipur,26.966717,75.657135,Library,1168808.29,1164123.33,2021-09-04,2021-12-26,Om Engineering Works,88.7,/static/demo_images/library_placeholder.jpg
MPL-00805,Construction of Community Hall in Ashoknagar,Construction of Community Hall in Ashoknagar,Karnataka,Hubli,15.310777,75.09118,Community Hall,1982015.2,1996105.78,2023-10-17,2024-04-04,Shree Balaji Infra Pvt Ltd,99.4,/static/demo_images/community_hall_placeholder.jpg
MPL-00308,Repair and widening of village road in Saraswatipur,Repair and widening of village road in Saraswatipur,Tamil Nadu,Coimbatore,11.05611,76.858847,Road Construction,2715897.73,2311073.35,2022-01-25,2022-09-14,Prime Infra Ltd.,96.4,/static/demo_images/road_construction_placeholder.jpg
MPL-00460,Installation of solar street lights in Krishnapur,Installation of solar street lights in Krishnapur,West Bengal,Siliguri,26.609766,88.543421,Electrification,456801.14,414262.04,2020-12-27,2021-04-02,Cityscape Infra Ltd.,96.2,/static/demo_images/electrification_placeholder.jpg
MPL-00639,Installation of high-mast lighting in Ramganj,Installation of high-mast lighting in Ramganj,Bihar,Patna,25.495479,85.067405,Electrification,789119.85,736250.18,2024-12-09,2025-03-02,Reliable Builders,96.8,/static/demo_images/electrification_placeholder.jpg
MPL-00739,"Construction of additional classrooms at Government School, Devipur","Construction of additional classrooms at Government School, Devipur",Rajasthan,Udaipur,24.470107,73.588804,School Infrastructure,1240450.97,1238114.26,2020-04-20,2020-10-21,Rapid Nation Builders,90.5,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00243,Installation of solar street lights in Ganeshpur,Installation of solar street lights in Ganeshpur,Rajasthan,Udaipur,24.51849,73.587775,Electrification,692037.98,671277.93,2019-04-20,2019-06-30,Ganga Infra Ltd.,88.1,/static/demo_images/electrification_placeholder.jpg
MPL-00681,Construction of open gymnasium in Fatehpur,Construction of open gymnasium in Fatehpur,Uttar Pradesh,Lucknow,26.90019,80.813395,Sports Infrastructure,1217818.65,2048473.91,2021-03-11,2021-07-31,Prime Builders,94.6,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00929,Drainage system construction in Anandpur,Drainage system construction in Anandpur,Uttar Pradesh,Agra,27.064271,78.068501,Sanitation,804681.45,702580.76,2023-02-15,2023-06-10,SuperFast Construction Co.,90.3,/static/demo_images/sanitation_placeholder.jpg
MPL-00295,Construction of link road connecting Ramganj,Construction of link road connecting Ramganj,Tamil Nadu,Chennai,13.084739,80.161395,Road Construction,3192849.75,3275437.66,2021-04-02,2021-11-18,Om Engineering Works,88.7,/static/demo_images/road_construction_placeholder.jpg
MPL-00945,Building of village community hall at Subhaspur,Building of village community hall at Subhaspur,Uttar Pradesh,Varanasi,25.425771,82.997867,Community Hall,962933.38,956646.91,2021-11-27,2022-07-04,SuperFast Construction Co.,99.6,/static/demo_images/community_hall_placeholder.jpg
MPL-00234,Construction of community sanitation block in Anandpur,Construction of community sanitation block in Anandpur,West Bengal,Durgapur,23.393055,87.40028,Sanitation,958218.96,891689.97,2022-02-13,2022-05-01,Skyline Engineering Works,91.8,/static/demo_images/sanitation_placeholder.jpg
MPL-00970,Construction of irrigation canal near Ramganj,Construction of irrigation canal near Ramganj,Tamil Nadu,Coimbatore,10.926372,77.068559,Irrigation,2946582.24,3009731.5,2021-05-27,2021-11-22,SuperFast Construction Co.,85.0,/static/demo_images/irrigation_placeholder.jpg
MPL-00975,Borewell and handpump installation for Balrampur,Borewell and handpump installation for Balrampur,Rajasthan,Jodhpur,26.167382,72.969586,Drinking Water,793102.72,744239.91,2022-01-04,2022-04-02,SuperFast Construction Co.,92.3,/static/demo_images/drinking_water_placeholder.jpg
MPL-00012,Construction of dispensary building in Ashoknagar,Construction of dispensary building in Ashoknagar,Maharashtra,Nagpur,21.178491,78.984052,Healthcare Facility,3406277.0,3262790.33,2024-12-12,2025-07-20,Shree Construction Co.,94.0,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00884,Construction of concrete road from Sundarpur to main highway,Construction of concrete road from Sundarpur to main highway,Tamil Nadu,Trichy,10.813069,78.62633,Road Construction,2490689.79,2254303.14,2023-07-16,2024-03-01,Rapid Nation Builders,90.9,/static/demo_images/road_construction_placeholder.jpg
